Table 78,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2009",,,,,
State,City,Population,Total law enforcement employees,Total officers,Total civilians
,Crest Hill,"21,405",28,26,2
,Crestwood,"11,028",3,2,1
,Crete,"9,189",21,19,2
,Creve Coeur,"5,181",7,6,1
,Crystal Lake,"42,198",78,65,13
,Cuba,"1,324",2,2,0
,Danvers,"1,145",2,2,0
,Danville,"32,076",70,60,10
,Darien,"22,304",55,39,16
,Decatur,"75,651",195,162,33
,Deer Creek-Goodfield,"1,621",1,1,0
,Deerfield,"19,797",53,39,14
,Deer Park,"3,373",21,19,2
,De Kalb,"46,253",74,61,13
,Delavan,"1,747",3,3,0
,De Pue,"1,744",3,3,0
,De Soto,"1,549",4,3,1
,Des Plaines,"57,061",124,100,24
,Divernon,"1,121",1,1,0
,Dixon,"14,931",32,28,4
,Downers Grove,"49,170",109,79,30
,Dupo,"4,089",6,6,0
,Du Quoin,"6,312",15,11,4
,Durand,"1,085",1,1,0
,Dwight,"4,255",10,9,1
,Earlville,"1,828",3,3,0
,East Alton,"6,535",16,11,5
,East Dubuque,"1,913",6,6,0
,East Dundee,"3,137",14,13,1
,East Hazel Crest,"1,528",10,9,1
,East Moline,"20,828",49,39,10
,East Peoria,"22,769",55,41,14
,East St. Louis,"28,479",88,65,23
,Edwardsville,"24,803",57,42,15
,Effingham,"12,498",35,22,13
,Elburn,"5,652",9,8,1
,Eldorado,"4,378",11,7,4
,Elgin,"107,686",233,180,53
,Elizabeth,646,1,1,0
,Elk Grove Village,"33,164",106,92,14
,Elmhurst,"46,372",91,69,22
,Elmwood,"1,864",1,1,0
,Elmwood Park,"23,909",41,34,7
,El Paso,"2,814",5,5,0
,Elwood,"2,434",11,10,1
,Energy,"1,202",4,4,0
,Erie,"1,544",2,2,0
,Eureka,"5,405",6,6,0
,Evanston,"78,101",218,165,53
,Evergreen Park,"19,206",72,60,12
,Fairbury,"3,762",9,8,1
,Fairfield,"5,139",17,13,4
,Fairview,479,1,1,0
,Fairview Heights,"16,841",50,40,10
,Farmer City,"1,941",6,4,2
,Fisher,"1,767",2,2,0
,Flora,"4,742",16,11,5
,Flossmoor,"9,305",24,19,5
,Forest Park,"15,176",54,38,16
,Forest View,712,12,9,3
,Fox Lake,"11,314",26,22,4
,Fox River Grove,"5,192",12,12,0
,Frankfort,"19,060",35,31,4
,Franklin Park,"17,810",54,50,4
,Freeburg,"4,530",10,9,1
,Freeport,"24,424",72,54,18
,Fulton,"3,826",9,8,1
,Galena,"3,319",13,10,3
,Galesburg,"30,910",82,53,29
,Galva,"2,632",3,3,0
,Geneseo,"6,430",17,12,5
,Geneva,"24,862",49,35,14
,Genoa,"5,207",8,7,1
,Georgetown,"3,421",4,4,0
,Germantown,"1,228",1,1,0
,Gibson City,"3,277",9,7,2
,Gifford,"1,011",1,1,0
,Gilberts,"7,298",9,8,1
,Gillespie,"3,159",10,7,3
,Gilman,"1,706",3,3,0
,Girard,"2,158",5,5,0
,Glasford,"1,029",2,2,0
,Glen Carbon,"12,851",28,19,9
,Glencoe,"9,067",41,32,9
,Glendale Heights,"31,832",79,56,23
,Glen Ellyn,"27,132",48,40,8
,Glenview,"46,528",84,73,11
,Glenwood,"8,433",23,22,1
,Golf,444,4,4,0
,Grafton,739,5,5,0
,Granite City,"30,568",70,60,10
,Grant Park,"1,756",3,3,0
,Granville,"1,336",2,2,0
,Grayslake,"22,099",38,33,5
,Grayville,"1,570",5,3,2
,Greenfield,"1,062",2,2,0
,Greenup,"1,471",4,4,0
,Greenville,"7,415",13,9,4
,Gurnee,"30,800",89,61,28
,Hainesville,"3,940",6,5,1
,Hamilton,"2,751",4,4,0
,Hampshire,"5,968",11,11,0
,Hampton,"1,791",4,4,0
,Hanover Park,"36,617",80,57,23
,Harrisburg,"9,554",15,14,1
,Hartford,"1,470",5,4,1
,Harvard,"10,072",24,18,6
,Harvey,"27,852",93,69,24
,Harwood Heights,"8,031",35,24,11
,Havana,"3,302",11,7,4
,Hawthorn Woods,"8,312",10,9,1
,Hazel Crest,"13,995",34,28,6
,Hebron,"1,434",4,4,0
,Henry,"2,402",3,3,0
,Herrin,"12,439",24,17,7
,Herscher,"1,625",3,3,0
,Hickory Hills,"13,263",37,29,8
,Highland,"9,893",28,20,8
,Highland Park,"31,576",79,58,21
,Highwood,"5,378",14,13,1
,Hillsboro,"6,142",8,8,0
,Hillside,"8,367",35,28,7
,Hinckley,"2,091",3,3,0
,Hinsdale,"18,553",35,28,7
,Hodgkins,"2,001",23,21,2
,Hoffman Estates,"54,100",116,101,15
,Homer,"1,114",1,1,0
,Hometown,"4,075",5,1,4
,Homewood,"18,361",42,37,5
,Hoopeston,"5,621",16,11,5
,Hopedale,924,2,2,0
,Huntley,"26,597",38,32,6
,Indian Head Park,"3,606",11,10,1
,Island Lake,"8,634",21,15,6
,Itasca,"8,645",32,24,8
,Jacksonville,"19,353",50,40,10
,Jerome,"1,282",8,8,0
,Jerseyville,"8,415",21,15,6
,Johnsburg,"6,894",10,9,1
,Joliet,"151,103",352,269,83
,Jonesboro,"1,815",2,2,0
,Justice,"12,481",32,25,7
,Kankakee,"26,615",85,73,12
,Kenilworth,"2,387",14,11,3
,Kewanee,"12,229",32,24,8
,Kildeer,"4,196",21,19,2
,Kincaid,"1,451",1,1,0
,Kingston,"1,069",2,2,0
,Kirkland,"1,772",3,3,0
,Knoxville,"2,890",5,5,0
,La Grange,"15,206",43,29,14
,La Grange Park,"12,311",28,22,6
,Lake Bluff,"6,239",22,16,6
,Lake Forest,"21,083",59,40,19
,Lake in the Hills,"30,405",59,42,17
,Lake Villa,"9,054",18,17,1
,Lakewood,"3,875",9,8,1
,Lake Zurich,"20,835",51,34,17
,La Moille,740,1,1,0
,Lanark,"1,444",2,1,1
,Lansing,"26,496",74,55,19
,La Salle,"9,480",30,24,6
,Lawrenceville,"4,346",7,7,0
,Lebanon,"4,595",12,12,0
,Leland,961,1,1,0
,Leland Grove,"1,428",6,5,1
,Lemont,"16,516",37,33,4
,Lenzburg,525,1,1,0
,Le Roy,"3,548",6,6,0
,Lewistown,"2,358",3,3,0
,Lexington,"1,897",2,2,0
,Libertyville,"21,961",53,38,15
,Lincoln,"14,454",26,25,1
,Lincolnshire,"8,196",36,25,11
,Lincolnwood,"11,752",41,31,10
,Lindenhurst,"14,923",18,16,2
,Lisle,"23,194",55,43,12
,Litchfield,"6,613",23,16,7
,Lockport,"26,106",44,37,7
,Lombard,"42,905",86,68,18
,Loves Park,"24,965",35,31,4
,Lynwood,"8,582",26,19,7
,Lyons,"10,251",34,27,7
,Machesney Park,"23,053",27,26,1
,Mackinaw,"1,732",1,1,0
,Macomb,"19,885",34,31,3
,Madison,"4,556",16,12,4
,Mahomet,"6,597",9,8,1
,Manhattan,"7,793",10,9,1
,Manito,"1,620",10,10,0
,Manteno,"8,821",18,17,1
,Marengo,"7,659",22,16,6
,Marion,"17,524",40,30,10
,Marissa,"1,965",4,4,0
,Maroa,"1,526",3,3,0
,Marquette Heights,"2,835",4,4,0
,Marseilles,"4,952",14,9,5
,Marshall,"3,841",10,9,1
,Martinsville,"1,211",2,2,0
,Maryville,"7,747",18,13,5
,Mascoutah,"6,815",14,13,1
,Mason City,"2,345",5,5,0
,Matteson,"17,993",46,36,10
,Mattoon,"17,064",47,40,7
,Maywood,"24,830",76,59,17
,McCook,235,23,18,5
,McCullom Lake,"1,107",4,4,0
,McHenry,"27,489",62,47,15
,McLean,789,1,1,0
,McLeansboro,"2,763",5,5,0
,Melrose Park,"21,712",81,71,10
,Mendota,"6,965",20,15,5
,Meredosia,958,1,1,0
,Metamora,"3,482",4,4,0
,Metropolis,"6,537",22,17,5
,Midlothian,"13,583",29,26,3
,Milan,"5,167",19,14,5
,Milledgeville,922,2,2,0
,Millstadt,"3,398",8,8,0
,Minier,"1,247",2,2,0
,Minonk,"2,153",3,3,0
,Minooka,"11,738",24,21,3
,Mokena,"19,817",36,33,3
,Moline,"42,996",105,83,22
,Momence,"3,177",9,9,0
,Monee,"5,278",15,14,1
,Monmouth,"9,268",31,19,12
,Montgomery,"17,071",32,22,10
,Monticello,"5,374",7,6,1
,Morris,"14,027",34,25,9
,Morrison,"4,287",7,7,0
,Morton,"16,105",29,22,7
,Morton Grove,"22,485",60,46,14
,Mount Carmel,"7,343",17,12,5
,Mount Carroll,"1,641",3,3,0
,Mount Morris,"3,083",5,4,1
,Mount Olive,"2,042",5,3,2
,Mount Prospect,"53,028",113,89,24
,Mount Pulaski,"1,568",2,2,0
,Mount Sterling,"1,889",8,4,4
,Mount Zion,"5,191",12,10,2
,Moweaqua,"1,810",1,1,0
,Mundelein,"34,021",70,52,18
,Murphysboro,"8,129",23,16,7
,Naperville,"144,731",292,185,107
,Nashville,"3,014",8,7,1
,Nauvoo,"1,165",3,3,0
,Neoga,"1,742",3,3,0
,New Athens,"2,001",4,4,0
,New Baden,"3,276",5,5,0
,New Lenox,"24,896",41,38,3
,Newton,"2,930",7,6,1
,Niles,"28,518",75,60,15
,Nokomis,"2,246",5,4,1
,Normal,"52,827",92,78,14
,North Aurora,"16,470",31,29,2
,Northbrook,"33,980",94,65,29
,North Chicago,"32,272",78,57,21
,Northfield,"5,418",28,19,9
,Northlake,"11,417",56,40,16
,North Pekin,"1,735",3,3,0
,North Riverside,"6,193",36,28,8
,Oak Brook,"8,819",52,42,10
,Oakbrook Terrace,"2,236",24,21,3
,Oak Forest,"27,699",54,42,12
,Oak Lawn,"53,028",125,103,22
,Oak Park,"53,286",145,116,29
,Oakwood,"1,418",1,1,0
,Oblong,"1,517",1,1,0
,O'Fallon,"28,194",58,44,14
,Oglesby,"3,674",12,9,3
,Okawville,"1,335",3,3,0
,Olney,"8,367",18,12,6
,Olympia Fields,"4,735",22,20,2
,Oregon,"4,130",9,8,1
,Orion,"1,685",3,3,0
,Orland Hills,"7,240",14,13,1
,Orland Park,"55,990",126,97,29
,Oswego,"34,521",60,50,10
,Ottawa,"19,509",47,36,11
,Palatine,"67,162",152,112,40
,Palestine,"1,319",2,2,0
,Palmyra,703,5,5,0
,Palos Heights,"12,604",30,27,3
,Palos Hills,"16,844",36,33,3
,Palos Park,"4,879",12,11,1
,Pana,"5,694",13,9,4
,Paris,"8,644",22,17,5
,Park City,"6,603",12,10,2
,Park Forest,"22,482",55,42,13
,Park Ridge,"36,835",73,60,13
,Pawnee,"2,534",10,6,4
,Paxton,"4,514",7,7,0
,Pecatonica,"2,232",3,3,0
,Pekin,"33,382",64,55,9
,Peoria,"114,241",277,238,39
,Peoria Heights,"6,190",16,12,4
,Peotone,"4,406",11,10,1
,Peru,"9,805",33,26,7
,Petersburg,"2,179",4,4,0
,Pinckneyville,"5,373",7,6,1
,Piper City,731,1,1,0
,Pittsfield,"4,435",6,6,0
,Plainfield,"40,764",78,55,23
,Plano,"12,945",20,18,2
,Polo,"2,477",4,4,0
,Pontiac,"11,182",24,22,2
,Pontoon Beach,"6,119",21,15,6
,Posen,"4,926",17,15,2
,Potomac,653,1,1,0
,Princeton,"7,494",17,16,1
,Prophetstown,"1,915",3,3,0
,Prospect Heights,"15,940",28,26,2
,Quincy,"39,906",90,76,14
,Rankin,581,1,1,0
,Rantoul,"12,109",38,30,8
,Raymond,896,2,2,0
,Red Bud,"3,656",6,6,0
,Richmond,"2,510",3,3,0
,Richton Park,"12,873",33,28,5
,Ridge Farm,851,1,1,0
,Ridgway,853,3,3,0
,Riverdale,"14,069",45,37,8
,River Forest,"11,128",30,27,3
,River Grove,"9,921",29,23,6
,Riverside,"8,207",23,18,5
,Riverwoods,"4,107",7,7,0
,Robbins,"6,299",11,3,8
,Robinson,"6,323",15,14,1
,Rochelle,"9,867",28,20,8
,Rochester,"3,277",8,8,0
,Rockdale,"2,005",5,5,0
,Rock Falls,"9,277",26,19,7
,Rockford,"157,943",315,284,31
,Rock Island,"37,976",110,83,27
,Rockton,"5,520",16,15,1
,Rolling Meadows,"23,335",63,51,12
,Romeoville,"40,465",88,68,20
,Roodhouse,"1,909",8,4,4
,Roscoe,"9,135",14,13,1
,Roselle,"23,197",52,36,16
,Rosemont,"3,898",88,75,13
,Rossville,"1,147",2,2,0
,Round Lake,"18,836",27,21,6
,Round Lake Beach,"28,054",51,40,11
,Round Lake Heights,"3,051",4,4,0
,Round Lake Park,"6,189",14,12,2
,Roxana,"1,546",6,5,1
,Royalton,"1,162",2,2,0
,Rushville,"3,083",4,4,0
,Salem,"7,398",19,13,6
,Sandwich,"7,424",22,16,6
,Sauget,236,14,13,1
,Sauk Village,"10,236",33,25,8
,Savanna,"3,176",8,8,0
,Schaumburg,"71,325",160,116,44
,Schiller Park,"11,544",41,33,8
,Seneca,"2,134",8,4,4
,Sesser,"2,121",6,5,1
,Shannon,789,1,1,0
,Shawneetown,"1,298",4,4,0
,Shelbyville,"4,568",8,7,1
,Sheridan,"2,042",3,3,0
,Sherman,"3,947",6,6,0
,Shiloh,"11,500",18,17,1
,Shorewood,"16,707",30,26,4
,Silvis,"7,829",22,15,7
,Skokie,"66,996",144,110,34
,Sleepy Hollow,"3,701",8,7,1
,Somonauk,"1,676",5,5,0
,South Barrington,"4,545",20,17,3
,South Beloit,"5,546",16,15,1
,South Chicago Heights,"3,759",11,7,4
,South Elgin,"21,729",42,32,10
,Southern View,"1,627",2,2,0
,South Holland,"20,969",49,47,2
,South Jacksonville,"3,226",6,5,1
,South Pekin,"1,202",2,2,0
,South Roxana,"1,798",5,5,0
,Sparta,"4,286",15,10,5
,Springfield,"117,973",317,268,49
,Spring Grove,"6,009",12,10,2
,Spring Valley,"5,451",13,10,3
,St. Anne,"1,249",2,2,0
,Staunton,"5,139",12,7,5
,St. Charles,"33,379",64,52,12
,Steger,"10,504",24,16,8
,Sterling,"15,051",43,30,13
,St. Francisville,725,1,1,0
,Stickney,"5,735",22,15,7
,Stockton,"1,782",5,4,1
,Stone Park,"4,832",22,16,6
,Stonington,894,2,2,0
,Streamwood,"37,175",68,58,10
,Streator,"13,736",33,26,7
,Sugar Grove,"10,626",15,14,1
,Sullivan,"4,385",10,8,2
,Summit,"10,179",34,28,6
,Sumner,"3,418",2,2,0
,Swansea,"13,160",28,22,6
,Sycamore,"18,384",31,28,3
,Taylorville,"12,193",26,20,6
,Thornton,"2,366",13,12,1
,Tilton,"2,759",3,3,0
,Tinley Park,"60,427",104,77,27
,Tolono,"2,850",2,2,0
,Toluca,"1,241",2,2,0
,Tremont,"2,075",3,3,0
,Trenton,"2,666",5,5,0
,Troy,"9,993",25,18,7
,Tuscola,"4,518",8,7,1
,University Park,"8,351",19,14,5
,Urbana,"39,838",68,53,15
,Valmeyer,"1,252",2,2,0
,Vandalia,"6,258",18,13,5
,Venice,"2,410",6,4,2
,Vernon Hills,"24,965",67,46,21
,Vienna,"1,287",4,4,0
,Villa Grove,"2,438",5,4,1
,Villa Park,"22,185",54,39,15
,Virden,"3,351",10,6,4
,Virginia,"1,657",1,1,0
,Wamac,"1,259",3,3,0
,Warren,"1,357",4,3,1
,Warrensburg,"1,160",2,2,0
,Warrenville,"12,997",41,33,8
,Warsaw,"1,584",3,3,0
,Washburn,"1,095",1,1,0
,Washington,"14,215",29,22,7
,Washington Park,"5,518",5,5,0
,Waterloo,"10,015",17,15,2
,Waterman,"1,563",2,2,0
,Watseka,"5,460",11,10,1
,Wauconda,"12,549",37,26,11
,Waukegan,"91,059",199,147,52
,Wayne,"2,421",5,5,0
,Wayne City,"1,055",1,1,0
,Westchester,"15,593",47,34,13
,West Chicago,"26,756",64,48,16
,West City,767,9,5,4
,West Dundee,"8,293",22,20,2
,Western Springs,"12,705",29,21,8
,West Frankfort,"8,185",19,14,5
,Westmont,"24,985",52,39,13
,West Salem,930,1,1,0
,Westville,"2,983",2,2,0
,Wheaton,"54,346",85,66,19
,Wheeling,"36,041",91,65,26
,White Hall,"2,437",8,5,3
,Williamsfield,568,2,2,0
,Williamsville,"1,383",3,3,0
,Willowbrook,"8,710",29,25,4
,Willow Springs,"5,989",25,18,7
,Wilmette,"26,288",60,44,16
,Wilmington,"6,234",21,15,6
,Winchester,"1,536",2,2,0
,Winfield,"10,117",21,19,2
,Winnebago,"3,245",5,5,0
,Winnetka,"12,365",37,28,9
,Winthrop Harbor,"7,263",16,11,5
,Wonder Lake,"3,995",3,2,1
,Wood Dale,"13,884",51,34,17
,Woodhull,788,1,1,0
,Woodridge,"32,487",75,50,25
,Wood River,"10,935",25,19,6
,Woodstock,"24,370",50,38,12
,Worden,"1,051",2,2,0
,Worth,"10,360",26,24,2
,Yates City,661,1,1,0
,Yorkville,"18,302",35,30,5
,Zeigler,"1,665",4,4,0
INDIANA,Albion,"2,337",7,6,1
,Alexandria,"5,811",17,13,4
,Anderson,"57,020",137,118,19
,Angola,"7,936",20,16,4
,Attica,"3,271",6,6,0
,Auburn,"13,128",29,23,6
,Aurora,"4,072",13,10,3
,Austin,"4,587",6,6,0
,Avon,"12,722",23,21,2
,Bargersville,"2,770",7,6,1
,Batesville,"6,477",17,12,5
,Bedford,"13,458",38,29,9
,Beech Grove,"14,257",43,32,11
,Berne,"4,389",7,6,1
,Bicknell,"3,220",9,6,3
,Bloomington,"71,845",129,92,37
,Bluffton,"9,293",33,20,13
,Boonville,"6,736",15,14,1
,Brazil,"8,296",14,10,4
,Bremen,"4,660",15,11,4
,Brownsburg,"20,651",48,40,8
,Brownstown,"2,978",5,5,0
,Burns Harbor,"1,148",6,5,1
,Carmel,"68,424",128,107,21
,Cedar Lake,"11,188",22,17,5
,Charlestown,"7,359",20,15,5
,Chesterfield,"2,733",6,6,0
,Chesterton,"12,968",27,21,6
,Clarksville,"21,921",46,38,8
,Clinton,"4,766",8,7,1
,Columbia City,"8,386",20,18,2
,Columbus,"40,087",81,73,8
,Connersville,"13,815",30,29,1
,Corydon,"2,787",7,7,0
,Covington,"2,416",6,6,0
,Crawfordsville,"15,036",44,31,13
,Crown Point,"24,942",53,40,13
,Culver,"1,502",4,4,0
,Danville,"8,319",21,19,2
,Decatur,"9,576",21,17,4
,Delphi,"2,844",8,7,1
,Dyer,"16,148",33,25,8
,East Chicago,"29,728",121,108,13
,Elkhart,"52,661",144,123,21
,Elwood,"8,956",20,15,5
,Evansville,"115,770",307,275,32
,Fairmount,"2,701",8,5,3
,Fishers,"73,538",97,90,7
,Fort Wayne,"251,584",488,452,36
,Fowler,"2,177",4,4,0
,Franklin,"23,704",56,40,16
,Garrett,"5,664",17,13,4
,Gary,"95,219",286,231,55
,Georgetown,"3,172",3,3,0
,Goshen,"32,952",63,58,5
,Greencastle,"10,172",18,16,2
,Greendale,"4,372",14,10,4
,Greenfield,"19,262",41,38,3
,Greenwood,"49,136",74,53,21
,Griffith,"16,205",39,31,8
,Hagerstown,"1,613",4,4,0
,Hammond,"76,085",253,206,47
,Hartford City,"6,239",15,13,2
,Hebron,"3,707",7,6,1
,Highland,"22,544",49,41,8
,Hobart,"28,173",70,55,15
,Huntingburg,"6,147",11,10,1
,Huntington,"16,424",44,34,10
,Indianapolis,"813,471","1,898","1,619",279
,Jasonville,"2,433",5,5,0
,Jasper,"14,224",29,21,8
,Jeffersonville,"30,783",73,64,9
,Kendallville,"10,472",26,18,8
,Knox,"3,844",7,7,0
,Kokomo,"45,562",130,100,30
,Lafayette,"64,370",163,128,35
,Lake Station,"13,172",27,24,3
,La Porte,"21,128",49,41,8
,Lawrence,"43,737",64,56,8
,Lawrenceburg,"4,798",25,20,5
,Lebanon,"15,522",30,29,1
,Ligonier,"4,551",10,9,1
,Linton,"5,683",15,11,4
,Logansport,"18,551",43,39,4
,Long Beach,"1,546",6,5,1
,Loogootee,"2,568",5,4,1
,Lowell,"8,504",19,14,5
,Lynn,"1,041",2,2,0
,Madison,"12,796",35,27,8
,Marion,"29,987",90,72,18
,Martinsville,"11,812",29,20,9
,Merrillville,"33,349",65,50,15
,Michigan City,"32,355",94,85,9
,Mishawaka,"50,378",125,102,23
,Mitchell,"4,564",11,7,4
,Monticello,"5,249",18,12,6
,Mooresville,"12,037",28,22,6
,Mount Vernon,"6,925",15,14,1
,Muncie,"64,639",105,98,7
,Munster,"22,173",47,37,10
,Nappanee,"7,196",22,15,7
,New Albany,"37,237",66,61,5
,New Castle,"18,236",34,32,2
,New Chicago,"1,984",5,2,3
,New Haven,"13,729",27,19,8
,New Whiteland,"5,961",13,8,5
,Noblesville,"43,820",83,71,12
,North Liberty,"1,397",3,3,0
,North Manchester,"5,784",16,11,5
,North Vernon,"6,269",21,18,3
,Oakland City,"2,505",4,4,0
,Peru,"12,225",31,29,2
,Petersburg,"2,435",5,5,0
,Plainfield,"28,811",47,42,5
,Plymouth,"11,170",29,24,5
,Portage,"37,373",76,61,15
,Portland,"6,131",17,13,4
,Prince's Lakes,"1,624",3,3,0
,Princeton,"8,471",18,16,2
,Rensselaer,"6,285",15,10,5
,Richmond,"36,479",83,72,11
,Rochester,"6,459",19,14,5
,Rushville,"6,011",18,13,5
,Salem,"6,538",17,12,5
,Schererville,"29,361",59,48,11
,Scottsburg,"5,896",13,13,0
,Sellersburg,"6,369",20,15,5
,Seymour,"19,342",55,39,16
,Shelbyville,"18,568",55,43,12
,South Bend,"103,326",316,249,67
,South Whitley,"1,852",4,4,0
,Speedway,"12,567",49,34,15
,St. John,"13,616",25,19,6
,Tell City,"7,493",20,12,8
,Terre Haute,"60,065",142,131,11
,Tipton,"4,968",14,12,2
,Union City,"3,294",10,8,2
,Valparaiso,"30,680",56,50,6
,Vincennes,"17,902",37,33,4
,Wabash,"10,718",33,27,6
,Walkerton,"2,164",10,6,4
,Warsaw,"13,733",39,32,7
,Washington,"11,400",23,17,6
,Waterloo,"2,160",7,6,1
,Westfield,"21,946",42,37,5
,West Lafayette,"31,092",67,48,19
,Westville,"5,179",3,3,0
,Whitestown,709,10,8,2
,Whiting,"4,712",24,19,5
,Winchester,"4,562",15,11,4
,Winona Lake,"4,327",5,5,0
,Zionsville,"14,065",23,22,1
IOWA,Adel,"4,553",8,7,1
,Albia,"3,537",7,6,1
,Algona,"5,285",14,10,4
,Altoona,"14,297",26,24,2
,Ames,"57,173",72,50,22
,Anamosa,"5,764",8,7,1
,Ankeny,"44,339",60,52,8
,Atlantic,"6,726",14,12,2
,Audubon,"2,082",3,3,0
,Belle Plaine,"2,805",4,4,0
,Belmond,"2,278",5,5,0
,Bettendorf,"32,734",59,46,13
,Bloomfield,"2,580",5,5,0
,Boone,"12,592",16,15,1
,Burlington,"25,172",57,41,16
,Camanche,"4,288",7,7,0
,Carlisle,"3,708",5,4,1
,Carroll,"9,974",16,15,1
,Carter Lake,"3,270",10,9,1
,Cedar Falls,"38,271",43,42,1
,Cedar Rapids,"128,779",258,202,56
,Centerville,"5,393",15,10,5
,Chariton,"4,401",8,7,1
,Charles City,"7,435",20,14,6
,Cherokee,"4,629",9,8,1
,Clarinda,"5,474",15,9,6
,Clarion,"2,692",8,7,1
,Clear Lake,"7,781",22,16,6
,Clinton,"26,266",53,45,8
,Clive,"15,522",27,24,3
,Coralville,"18,884",35,31,4
,Council Bluffs,"59,669",131,110,21
,Cresco,"3,712",7,7,0
,Creston,"7,597",15,11,4
,Davenport,"101,116",210,161,49
,Decorah,"7,877",19,12,7
,Denison,"7,167",17,12,5
,Des Moines,"196,794",480,373,107
,De Witt,"5,286",10,10,0
,Dubuque,"57,192",105,99,6
,Dyersville,"4,222",10,6,4
,Eagle Grove,"3,269",7,7,0
,Eldora,"2,703",4,4,0
,Eldridge,"4,962",6,6,0
,Emmetsburg,"3,586",7,6,1
,Estherville,"6,255",12,12,0
,Evansdale,"5,121",8,7,1
,Fairfield,"9,177",19,13,6
,Forest City,"4,066",7,7,0
,Fort Dodge,"25,058",41,38,3
,Fort Madison,"10,818",23,18,5
,Garner,"2,932",5,5,0
,Glenwood,"5,675",9,8,1
,Grinnell,"9,174",17,15,2
,Grundy Center,"2,510",5,5,0
,Hampton,"4,126",12,7,5
,Harlan,"4,954",9,8,1
,Hawarden,"2,396",4,4,0
,Hiawatha,"6,708",13,12,1
,Humboldt,"4,170",6,6,0
,Independence,"6,125",10,10,0
,Indianola,"14,500",19,17,2
,Iowa City,"68,427",95,74,21
,Iowa Falls,"4,940",15,11,4
,Jefferson,"4,095",7,7,0
,Johnston,"16,725",23,22,1
,Keokuk,"10,283",33,25,8
,Knoxville,"7,204",14,12,2
,Le Claire,"3,007",7,6,1
,Le Mars,"9,114",15,14,1
,Leon,"1,875",2,2,0
,Manchester,"4,834",13,9,4
,Maquoketa,"5,882",17,11,6
,Marion,"33,590",50,41,9
,Marshalltown,"25,833",58,42,16
,Mason City,"27,142",52,47,5
,Missouri Valley,"2,726",4,4,0
,Monticello,"3,652",7,6,1
,Mount Pleasant,"8,780",16,14,2
,Mount Vernon,"4,196",6,6,0
,Muscatine,"22,480",44,40,4
,Nevada,"6,688",9,8,1
,New Hampton,"3,369",7,7,0
,New London,"1,832",3,3,0
,Newton,"14,981",28,23,5
,North Liberty,"12,569",13,12,1
,Norwalk,"9,048",15,13,2
,Oelwein,"6,019",16,11,5
,Ogden,"1,968",3,3,0
,Onawa,"2,710",6,6,0
,Orange City,"5,922",7,7,0
,Osage,"3,424",6,5,1
,Osceola,"4,708",11,10,1
,Oskaloosa,"11,077",19,17,2
,Ottumwa,"24,276",47,40,7
,Pella,"10,238",20,14,6
,Perry,"9,809",20,13,7
,Pleasant Hill,"8,873",18,16,2
,Pleasantville,"1,584",2,2,0
,Polk City,"3,314",6,6,0
,Prairie City,"1,444",3,3,0
,Rock Rapids,"2,423",1,1,0
,Rock Valley,"2,967",5,5,0
,Sac City,"2,118",4,4,0
,Sergeant Bluff,"4,093",9,8,1
,Sheldon,"4,740",7,7,0
,Shenandoah,"4,884",11,8,3
,Sioux Center,"6,638",7,7,0
,Sioux City,"82,573",152,127,25
,Spencer,"10,949",27,19,8
,Spirit Lake,"4,742",11,10,1
,St. Ansgar,"1,060",1,1,0
,State Center,"1,340",1,1,0
,Storm Lake,"9,542",23,19,4
,Story City,"3,406",5,5,0
,Tama,"2,539",5,5,0
,Tipton,"2,997",6,6,0
,Urbandale,"39,518",51,47,4
,Vinton,"5,078",8,8,0
,Washington,"7,276",11,10,1
,Waterloo,"66,436",134,120,14
,Waukee,"13,558",13,12,1
,Waukon,"3,885",7,7,0
,Waverly,"9,334",16,15,1
,Webster City,"7,672",17,13,4
,West Burlington,"3,298",12,11,1
,West Des Moines,"56,400",81,66,15
,West Liberty,"3,685",8,7,1
,West Union,"2,416",4,4,0
,Williamsburg,"2,831",6,6,0
,Wilton,"2,820",4,4,0
,Windsor Heights,"4,616",15,13,2
,Winterset,"4,825",8,8,0
KANSAS,Abilene,"6,383",16,14,2
,Alma,751,1,1,0
,Altamont,"1,045",3,3,0
,Andale,892,2,2,0
,Andover,"10,792",29,21,8
,Anthony,"2,196",6,5,1
,Argonia,466,1,1,0
,Arkansas City,"10,975",35,25,10
,Arma,"1,511",5,5,0
,Atchison,"10,378",23,22,1
,Attica,581,1,1,0
,Atwood,"1,048",2,2,0
,Augusta,"8,715",32,23,9
,Baldwin City,"4,416",9,7,2
,Basehor,"4,525",14,12,2
,Baxter Springs,"4,108",13,9,4
,Bel Aire,"6,883",13,12,1
,Belle Plaine,"1,509",4,4,0
,Belleville,"1,793",5,5,0
,Benton,804,2,2,0
,Blue Rapids,"1,011",1,1,0
,Bonner Springs,"7,205",26,24,2
,Buhler,"1,329",3,3,0
,Burden,525,1,1,0
,Burlingame,952,2,2,0
,Burlington,"2,667",9,7,2
,Burrton,892,2,2,0
,Caldwell,"1,130",3,3,0
,Canton,786,1,1,0
,Carbondale,"1,367",2,2,0
,Cawker City,457,1,1,0
,Cedar Vale,606,1,1,0
,Chanute,"8,784",22,19,3
,Chapman,"1,343",4,4,0
