Table 78,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2009",,,,,
State,City,Population,Total law enforcement employees,Total officers,Total civilians
,Parrish,"1,244",10,4,6
,Pelham,"22,172",82,67,15
,Pell City,"13,252",36,33,3
,Phenix City,"31,438",102,80,22
,Phil Campbell,"1,048",2,2,0
,Pickensville,627,2,1,1
,Piedmont,"4,952",16,11,5
,Pinckard,623,2,2,0
,Pine Hill,907,3,3,0
,Pleasant Grove,"10,281",24,18,6
,Powell,983,2,2,0
,Prattville,"33,279",92,82,10
,Priceville,"2,981",5,5,0
,Prichard,"27,560",63,39,24
,Ragland,"2,161",4,4,0
,Rainbow City,"9,425",32,21,11
,Rainsville,"5,046",15,11,4
,Ranburne,487,2,2,0
,Red Bay,"3,288",10,6,4
,Reform,"1,771",5,5,0
,Riverside,"2,084",4,4,0
,Roanoke,"6,701",25,20,5
,Robertsdale,"5,111",26,13,13
,Rogersville,"1,205",6,6,0
,Russellville,"8,913",26,22,4
,Samson,"2,025",6,5,1
,Saraland,"13,019",47,36,11
,Sardis City,"2,206",4,4,0
,Scottsboro,"15,015",69,45,24
,Section,758,2,2,0
,Selma,"18,679",73,53,20
,Sheffield,"9,072",36,30,6
,Shorter,377,12,5,7
,Silas,470,2,1,1
,Silverhill,707,2,2,0
,Sipsey,542,1,1,0
,Skyline,834,3,1,2
,Slocomb,"2,046",7,6,1
,Snead,860,4,4,0
,Southside,"8,572",16,10,6
,Spanish Fort,"5,809",22,21,1
,Springville,"3,814",15,15,0
,Stevenson,"2,015",7,4,3
,St. Florian,492,2,2,0
,Sulligent,"1,949",5,5,0
,Sylacauga,"12,844",45,39,6
,Sylvania,"1,276",3,3,0
,Talladega,"16,902",48,39,9
,Tallassee,"5,199",26,20,6
,Tarrant,"6,445",28,23,5
,Thomasville,"4,460",20,15,5
,Thorsby,"2,097",5,5,0
,Town Creek,"1,208",3,3,0
,Triana,493,2,2,0
,Trinity,"2,003",5,5,0
,Troy,"15,278",69,49,20
,Trussville,"19,596",54,44,10
,Tuscaloosa,"91,688",346,279,67
,Tuscumbia,"8,346",29,21,8
,Tuskegee,"11,281",36,25,11
,Union Springs,"4,682",18,11,7
,Uniontown,"1,397",8,8,0
,Valley,"10,017",36,30,6
,Valley Head,654,3,2,1
,Vance,"1,018",3,3,0
,Vernon,"1,867",7,7,0
,Vestavia Hills,"30,906",70,68,2
,Warrior,"3,100",17,12,5
,Weaver,"2,738",10,7,3
,Webb,"1,375",2,2,0
,Wedowee,825,8,8,0
,West Blocton,"1,433",2,2,0
,Wetumpka,"7,964",41,30,11
,Winfield,"4,626",11,10,1
,Woodstock,"1,029",4,4,0
,Woodville,750,1,1,0
,York,"2,481",11,6,5
ALASKA,Anchorage,"283,300",544,383,161
,Bethel,"6,584",20,11,9
,Bristol Bay Borough,933,8,3,5
,Cordova,"2,219",12,6,6
,Craig,"1,150",11,5,6
,Dillingham,"2,465",18,6,12
,Fairbanks,"35,735",51,48,3
,Haines,"2,273",9,5,4
,Homer,"5,921",21,14,7
,Hoonah,701,5,3,2
,Houston,"2,298",4,2,2
,Juneau,"31,024",80,48,32
,Kenai,"7,836",28,19,9
,Ketchikan,"7,215",33,22,11
,Kodiak,"6,212",33,15,18
,Kotzebue,"3,187",16,7,9
,Nome,"3,585",15,9,6
,North Pole,"2,299",14,13,1
,North Slope Borough,"6,581",63,38,25
,Palmer,"8,706",31,15,16
,Petersburg,"2,784",14,8,6
,Sand Point,996,4,3,1
,Seldovia,312,1,1,0
,Seward,"3,161",23,9,14
,Sitka,"8,896",30,17,13
,Skagway,895,8,4,4
,Soldotna,"4,461",15,13,2
,St. Paul,405,5,3,2
,Togiak,811,3,3,0
,Unalaska,"3,462",29,13,16
,Valdez,"3,758",19,10,9
,Wasilla,"10,980",52,24,28
,Whittier,157,3,3,0
,Wrangell,"1,958",16,7,9
ARIZONA,Apache Junction,"32,869",85,51,34
,Avondale,"88,773",155,102,53
,Benson,"4,863",23,14,9
,Bisbee,"5,965",20,13,7
,Buckeye,"56,780",89,68,21
,Bullhead City,"41,721",126,79,47
,Camp Verde,"11,012",34,22,12
,Casa Grande,"43,254",109,74,35
,Chandler,"256,091",493,329,164
,Chino Valley,"11,453",37,28,9
,Clarkdale,"4,374",11,9,2
,Clifton,"2,438",9,5,4
,Colorado City,"4,934",10,6,4
,Coolidge,"10,540",43,32,11
,Cottonwood,"11,664",48,32,16
,Douglas,"17,622",49,35,14
,Eagar,"4,541",10,8,2
,El Mirage,"28,196",52,45,7
,Eloy,"13,049",40,28,12
,Flagstaff,"61,072",159,110,49
,Florence,"21,229",44,30,14
,Fredonia,"1,135",4,4,0
,Gilbert,"231,799",340,225,115
,Glendale,"255,080",569,419,150
,Globe,"7,167",32,24,8
,Goodyear,"67,390",130,95,35
,Hayden,"1,234",9,8,1
,Holbrook,"5,094",22,15,7
,Huachuca City,"1,988",9,4,5
,Jerome,356,5,5,0
,Kearny,"3,438",9,6,3
,Kingman,"28,700",81,55,26
,Lake Havasu City,"58,406",117,88,29
,Mammoth,"2,682",6,3,3
,Marana,"38,028",107,78,29
,Maricopa,"52,200",63,56,7
,Mesa,"470,833","1,256",801,455
,Miami,"1,762",11,7,4
,Nogales,"19,433",84,65,19
,Oro Valley,"44,854",126,100,26
,Page,"6,940",29,20,9
,Paradise Valley,"15,141",38,29,9
,Parker,"3,180",14,12,2
,Patagonia,768,3,3,0
,Payson,"15,701",45,29,16
,Peoria,"164,366",287,184,103
,Phoenix,"1,597,397","4,360","3,279","1,081"
,Pima,"2,173",4,4,0
,Pinetop-Lakeside,"4,654",23,15,8
,Prescott,"43,748",88,69,19
,Prescott Valley,"40,539",78,62,16
,Quartzsite,"3,497",14,13,1
,Safford,"9,894",24,20,4
