Table 78,,,,,,
Full-time Law Enforcement Employees ,,,,,,
"by State by City, 2006",,,,,,
State,City,Total law enforcement employees,Total officers,Total civilians,,
,Roanoke,27,22,5,,
,Robertsdale,26,14,12,,
,Rockford,2,1,1,,
,Rogersville,5,5,0,,
,Russellville,29,24,5,,
,Samson,6,5,1,,
,Saraland,48,37,11,,
,Satsuma,18,14,4,,
,Scottsboro,63,44,19,,
,Section,2,2,0,,
,Selma,80,57,23,,
,Sheffield,33,28,5,,
,Silas,1,1,0,,
,Silverhill,1,1,0,,
,Skyline,2,1,1,,
,Slocomb,8,6,2,,
,Snead,5,5,0,,
,Somerville,4,4,0,,
,Southside,16,11,5,,
,Spanish Fort,13,12,1,,
,Springville,10,10,0,,
,Steele,2,2,0,,
,Stevenson,6,4,2,,
,St. Florian,2,1,1,,
,Sulligent,5,5,0,,
,Sumiton,12,7,5,,
,Summerdale,7,6,1,,
,Sylacauga,49,38,11,,
,Talladega,56,40,16,,
,Tallassee,24,18,6,,
,Tarrant City,28,22,6,,
,Taylor,2,2,0,,
,Thomasville,20,15,5,,
,Thorsby,5,5,0,,
,Town Creek,4,4,0,,
,Triana,2,2,0,,
,Trinity,5,5,0,,
,Troy,66,48,18,,
,Trussville,47,36,11,,
,Tuscaloosa,326,252,74,,
,Tuscumbia,26,20,6,,
,Tuskegee,38,25,13,,
,Union Springs,20,13,7,,
,Uniontown,43,6,37,,
,Valley Head,3,2,1,,
,Vance,4,4,0,,
,Vernon,7,7,0,,
,Vestavia Hills,63,61,2,,
,Wadley,2,2,0,,
,Warrior,18,13,5,,
,Weaver,9,6,3,,
,Wedowee,8,8,0,,
,West Blocton,1,1,0,,
,Wetumpka,34,27,7,,
,Wilton,1,1,0,,
,Winfield,11,10,1,,
,Woodstock,4,4,0,,
,Woodville,1,1,0,,
,York,10,5,5,, 
ALASKA,Anchorage,536,367,169,,
,Bethel,20,11,9,,
,Bristol Bay Borough,8,3,5,,
,Cordova,9,5,4,,
,Craig,11,5,6,,
,Dillingham,19,7,12,,
,Emmonak,4,4,0,,
,Fairbanks,58,42,16,,
,Haines,10,6,4,,
,Homer,22,15,7,,
,Hoonah,7,4,3,,
,Houston,2,2,0,,
,Juneau,78,46,32,,
,Kenai,26,17,9,,
,Ketchikan,32,21,11,,
,Klawock,3,3,0,,
,Kodiak,33,18,15,,
,Kotzebue,18,8,10,,
,Nome,16,10,6,,
,North Pole,11,10,1,,
,North Slope Borough,66,41,25,,
,Palmer,28,13,15,,
,Petersburg,14,8,6, ,
,Sand Point,5,4,1,,
,Seldovia,1,1,0,,
,Seward,22,10,12,,
,Sitka,35,19,16,,
,Skagway,8,4,4,,
,Soldotna,15,13,2,,
,St. Paul,6,3,3,,
,Togiak,2,2,0,,
,Unalaska,32,15,17,,
,Valdez,20,10,10,,
,Wasilla,46,22,24,,
,Whittier,1,1,0,,
,Wrangell,14,6,8,,
ARIZONA,Apache Junction,84,52,32,,
,Avondale,128,79,49,,
,Benson,19,11,8,,
,Bisbee,24,15,9,,
,Buckeye,66,50,16,,
,Bullhead City,131,80,51,,
,Camp Verde,32,20,12,,
,Casa Grande,96,67,29,,
,Chandler,459,306,153,,
,Chino Valley,41,28,13,,
,Clarkdale,11,9,2,,
,Clifton,4,2,2,,
,Colorado City,6,5,1,,
,Coolidge,39,29,10,,
,Douglas,45,35,10,,
,Eagar,12,9,3,,
,El Mirage,47,40,7,,
,Eloy,51,37,14,,
,Flagstaff,148,98,50,,
,Florence,33,23,10,,
,Fredonia,3,3,0,,
,Gilbert,288,191,97,,
,Glendale,513,370,143,,
,Globe,33,24,9,,
,Goodyear,95,73,22,,
,Hayden,9,8,1,,
,Holbrook,25,16,9,,
,Huachuca City,12,5,7,,
,Jerome,5,5,0,,
,Kearny,8,5,3,,
,Kingman,81,54,27,,
,Lake Havasu City,123,95,28,,
,Mammoth,9,6,3,,
,Marana,98,74,24,,
,Mesa,"1,321",829,492,,
,Miami,11,7,4,,
,Nogales,82,64,18,,
,Oro Valley,116,87,29,,
,Page,33,22,11,,
,Paradise Valley,42,33,9,,
,Parker,16,13,3,,
,Patagonia,4,4,0,,
,Payson,44,29,15,,
,Peoria,241,166,75,,
,Phoenix,"3,829","2,896",933,,
,Pima,4,4,0,,
,Pinetop-Lakeside,23,15,8,,
,Prescott,110,59,51,,
,Prescott Valley,70,56,14,,
,Quartzsite,15,13,2,,
,Safford,24,21,3,,
,Sahuarita,35,30,5,,
,San Luis,47,33,14,,
,Scottsdale,629,382,247,,
